State,Sightings,State population,Sightings per 100k
Delaware,5,"973,764",0.5
Rhode Island,5,"1,059,361",0.5
North Dakota,6,"762,062",0.8
Nevada,9,"3,080,156",0.3
Vermont,10,"623,989",1.6
Nebraska,15,"1,934,408",0.8
New Hampshire,16,"1,359,711",1.2
Maine,17,"1,344,212",1.3
Connecticut,18,"3,565,287",0.5
South Dakota,19,"884,659",2.1
Alaska,22,"731,545",3
Mississippi,23,"2,976,149",0.8
Wyoming,28,"578,759",4.8
Maryland,34,"6,045,680",0.6
Massachusetts,35,"6,949,503",0.5
New Mexico,42,"2,096,829",2
Louisiana,43,"4,648,794",0.9
Kansas,47,"2,913,314",1.6
Montana,52,"1,068,778",4.9
South Carolina,52,"5,148,714",1
Utah,70,"3,205,958",2.2
New Jersey,72,"8,882,190",0.8
Minnesota,74,"5,639,632",1.3
Iowa,76,"3,155,070",2.4
Indiana,80,"6,732,219",1.2
Virginia,80,"8,535,519",0.9
Arizona,84,"7,278,717",1.2
Idaho,93,"1,792,065",5.2
Alabama,98,"4,903,185",2
North Carolina,98,"10,488,084",0.9
Tennessee,102,"6,833,174",1.5
Wisconsin,102,"5,822,434",1.8
Oklahoma,104,"3,956,971",2.6
West Virginia,104,"1,787,147",5.8
Arkansas,108,"3,017,825",3.6
Kentucky,113,"4,467,673",2.5
New York,113,"19,453,561",0.6
Pennsylvania,118,"12,801,989",0.9
Colorado,128,"5,758,736",2.2
Georgia,132,"10,617,423",1.2
Missouri,154,"6,137,428",2.5
Michigan,220,"9,986,857",2.2
Texas,246,"28,995,881",0.8
Oregon,254,"4,217,737",6
Illinois,296,"12,671,821",2.3
Ohio,302,"11,689,100",2.6
Florida,328,"21,477,737",1.5
California,445,"39,512,223",1.1
Washington,676,"7,614,893",8.9